id;player_name;login_at;logout_at;created_at
dde5746d-7990-480c-98fd-a232a3d059c1;Coronna Australlis;2026-02-17 06:31:28.745+00;2026-02-17 06:56:43.331+00;2026-02-17 06:31:28.775755+00
54905bd6-91f4-414a-8be3-8a5783269fea;Exori;2026-02-17 00:17:03.329+00;2026-02-17 07:17:03.474+00;2026-02-17 00:17:03.365496+00
0fd7cead-6372-4c48-b1e2-e047ec139051;Weedhahaha;2026-02-17 00:50:25.516+00;2026-02-17 02:39:31.447+00;2026-02-17 00:50:25.548843+00
8a4268be-da20-4b40-a01a-582273816321;Lord das Trevas Trevosas;2026-02-17 00:17:03.329+00;2026-02-17 02:44:33.861+00;2026-02-17 00:17:03.365496+00
18b0c6d3-4d89-4525-a57d-03ad34b0aa2f;Bingulin;2026-02-17 00:45:21.179+00;2026-02-17 02:49:37.681+00;2026-02-17 00:45:21.203775+00
829e5e99-5696-41d9-b819-f3617d784fb2;Magisk;2026-02-17 00:17:03.329+00;2026-02-17 02:49:37.681+00;2026-02-17 00:17:03.365496+00
68bbcc45-f52c-4be5-89ad-250374818218;Oddyzik;2026-02-17 01:34:13.54+00;2026-02-17 02:59:38.516+00;2026-02-17 01:34:13.566836+00
c88b13ce-0ee0-4eb2-bf84-b0f1ab6cbdb5;Goldito;2026-02-17 02:26:44.238+00;2026-02-17 03:04:43.213+00;2026-02-17 02:26:44.266179+00
dec9816d-f023-416f-9316-85119d5023ab;Satoru Gojo;2026-02-17 00:17:03.329+00;2026-02-17 03:09:45.153+00;2026-02-17 00:17:03.365496+00
5d3a9604-089f-49d0-a9a3-9a5ca199c842;Simulacra;2026-02-17 00:17:03.329+00;2026-02-17 03:09:45.153+00;2026-02-17 00:17:03.365496+00
b9afb578-4d8c-457d-9f22-8e7bdaa186a6;Knightmare;2026-02-17 00:17:03.329+00;2026-02-17 03:14:48.04+00;2026-02-17 00:17:03.365496+00
7b5753dd-ecd2-4880-b076-54cebf0cfa6c;Abjola;2026-02-17 02:26:44.238+00;2026-02-17 03:24:55.9+00;2026-02-17 02:26:44.266179+00
5d4943e2-09b1-4287-8060-0440ecd98e3f;Blaze Juubiix;2026-02-17 00:17:03.329+00;2026-02-17 03:30:09.843+00;2026-02-17 00:17:03.365496+00
abbe845a-36ef-4c89-8693-786e6135fc27;Kayato;2026-02-17 00:30:12.652+00;2026-02-17 03:30:09.843+00;2026-02-17 00:30:12.687303+00
e1480652-2655-4720-967e-8f7b24daf5ba;Vidonkyten;2026-02-17 01:14:03.37+00;2026-02-17 03:30:09.843+00;2026-02-17 01:14:03.411521+00
f28cab8a-ebb1-4eaf-9381-c97aeb5e5514;Mano Gota;2026-02-17 00:17:03.329+00;2026-02-17 03:35:16.351+00;2026-02-17 00:17:03.365496+00
